iter	Passed	Remaining
402	11790	17466
403	11839	17465
404	11887	17464
405	11940	17469
406	12007	17494
407	12044	17475
408	12092	17473
409	12115	17435
410	12146	17407
411	12213	17430
412	12241	17399
413	12289	17395
414	12315	17360
415	12341	17325
416	12381	17310
417	12416	17287
418	12443	17253
419	12476	17229
420	12505	17199
421	12531	17163
422	12566	17141
423	12588	17100
424	12614	17066
425	12634	17023
426	12660	16988
427	12688	16957
428	12713	16921
429	12737	16885
430	12782	16875
431	12828	16867
432	12859	16839
433	12887	16807
434	12910	16769
435	12934	16731
436	12961	16699
437	12981	16656
438	13005	16619
439	13033	16587
440	13062	16558
441	13090	16525
442	13116	16491
443	13152	16470
444	13186	16446
445	13214	16414
446	13255	16398
447	13287	16372
448	13321	16347
449	13350	16317
450	13385	16294
451	13412	16261
452	13441	16230
453	13469	16198
454	13494	16163
455	13517	16125
456	13543	16092
457	13573	16063
458	13601	16031
459	13630	16001
460	13659	15970
461	13687	15938
462	13707	15897
463	13729	15860
464	13767	15840
465	13819	15836
466	13849	15807
467	13876	15773
468	13899	15737
469	13927	15705
470	13958	15677
471	14002	15663
472	14048	15652
473	14080	15624
474	14103	15588
475	14132	15557
476	14168	15534
477	14209	15517
478	14239	15487
479	14265	15453
480	14303	15433
481	14339	15410
482	14366	15378
483	14401	15354
484	14424	15316
485	14453	15286
486	14484	15257
487	14511	15224
488	14533	15187
489	14556	15151
490	14585	15120
491	14610	15085
492	14631	15046
493	14661	15017
494	14687	14984
495	14711	14949
496	14738	14915
497	14758	14876
498	14780	14839
499	14813	14813
500	14842	14783
501	14864	14746
502	14888	14711
503	14918	14681
504	14942	14646
505	14963	14608
506	14994	14580
507	15028	14555
508	15055	14522
509	15078	14486
510	15100	14450
511	15120	14411
512	15145	14377
513	15170	14344
514	15198	14312
515	15231	14287
516	15258	14255
517	15289	14226
518	15317	14195
519	15352	14171
520	15411	14169
521	15464	14160
522	15572	14202
523	15607	14177
524	15639	14150
525	15669	14120
526	15699	14090
527	15728	14060
528	15763	14035
529	15790	14002
530	15837	13988
531	15919	14004
532	15968	13990
533	16015	13976
534	16069	13966
535	16117	13952
536	16182	13952
537	16234	13941
538	16287	13930
539	16367	13942
540	16433	13942
541	16502	13945
542	16550	13928
543	16609	13922
544	16674	13921
545	16726	13908
546	16769	13887
547	16830	13881
548	16895	13879
549	16930	13852
550	16960	13820
551	16985	13785
552	17013	13752
553	17041	13719
554	17074	13690
555	17111	13664
556	17143	13634
557	17176	13605
558	17205	13573
559	17237	13544
560	17277	13519
561	17307	13488
562	17361	13475
563	17393	13446
564	17428	13418
565	17510	13426
566	17575	13421
567	17606	13390
568	17637	13359
569	17684	13340
570	17742	13330
571	17787	13309
572	17834	13290
573	17878	13269
574	17932	13254
575	17962	13222
576	17992	13190
577	18017	13154
578	18046	13121
579	18076	13089
580	18109	13059
581	18133	13023
582	18161	12990
583	18189	12956
584	18211	12919
585	18238	12885
586	18263	12849
587	18296	12819
588	18326	12787
589	18352	12753
590	18376	12717
591	18402	12682
592	18432	12651
593	18464	12620
594	18545	12623
595	18628	12627
596	18662	12597
597	18711	12578
598	18752	12554
599	18790	12526
600	18847	12512
601	18874	12478
602	18908	12449
603	18948	12423
