iter	MultiClass
142	0.6599706331
143	0.6598065678
144	0.6595311465
145	0.6593282158
146	0.6589885377
147	0.6588096374
148	0.6585343068
149	0.6583314972
150	0.6579310572
151	0.6577060471
152	0.6574314863
153	0.657193352
154	0.6568247989
155	0.6565867298
156	0.656423576
157	0.6561778777
158	0.6559372645
159	0.6558028787
160	0.6556231861
161	0.6554792575
162	0.6553267298
163	0.6551526335
164	0.6549427891
165	0.6547503649
166	0.6545755236
167	0.6543252448
168	0.6541417693
169	0.6538050783
170	0.6536329004
171	0.6534019819
172	0.6530408894
173	0.6528896697
174	0.6527618654
175	0.6524632294
176	0.6522770987
177	0.6520469254
178	0.651844759
179	0.6517342858
180	0.6515010252
181	0.6513229828
182	0.6511680491
183	0.6508968751
184	0.6507230858
185	0.6504150326
186	0.6501537769
187	0.6499347113
188	0.6497184796
189	0.6494133058
190	0.649175954
191	0.6488689907
192	0.6486485061
193	0.6484037049
194	0.648223983
195	0.6480232173
196	0.647760044
197	0.6475487298
198	0.647380653
199	0.6471478605
200	0.6470278471
201	0.6467424223
202	0.6466221774
203	0.6463940906
204	0.6462036159
205	0.6460155158
206	0.6458332182
207	0.645580958
208	0.6454568369
209	0.6452115113
210	0.6449954938
211	0.6448667516
212	0.6447174797
213	0.6444457182
214	0.6442947037
215	0.643951343
216	0.6438053831
217	0.6436232428
218	0.6433983588
219	0.6431951901
220	0.6430273588
221	0.6428116906
222	0.6424600604
223	0.642264109
224	0.6420486962
225	0.6419221433
226	0.6417400936
227	0.6415596681
228	0.6412853911
229	0.6411345461
230	0.6409847176
231	0.6408268453
232	0.6406496762
233	0.6404640143
234	0.6402290802
235	0.6399586755
236	0.639802493
237	0.6395823901
238	0.6394455999
239	0.6392756057
240	0.639039206
241	0.6388546229
242	0.6386749512
243	0.6384919952
244	0.6383483341
245	0.6381057655
246	0.6378009634
247	0.6376207177
248	0.637295059
249	0.6370771985
250	0.6369162216
251	0.6367816695
252	0.6366430704
253	0.6364977458
254	0.6363289543
255	0.6361661166
256	0.6360470652
257	0.6359071572
258	0.6357302899
259	0.6355674797
260	0.6353941772
261	0.6351716569
262	0.6350069749
263	0.634860959
264	0.6347620089
265	0.6345528989
266	0.6344085502
267	0.6341725825
268	0.633834529
269	0.633663776
270	0.6335144933
271	0.6332821323
272	0.6331161236
273	0.6329655123
274	0.6327956358
275	0.6325419103
276	0.6323049809
277	0.6321417139
278	0.6319166354
279	0.6316621905
280	0.6315316363
281	0.6313447259
282	0.6311345471
283	0.6309910039
284	0.6307599361
285	0.6305848628
286	0.6304253875
287	0.6302280905
288	0.6300880786
289	0.6299296626
290	0.6297927785
291	0.6296782247
292	0.6295189298
293	0.6293338769
294	0.6292426345
295	0.6291161011
296	0.6289527658
297	0.6287189657
298	0.6285591122
299	0.628325628
300	0.6281991184
301	0.628006832
302	0.6277411231
303	0.6275600546
304	0.6273590965
305	0.6272165224
306	0.6269731428
307	0.6267955432
308	0.6265866379
309	0.6263953114
310	0.6262495564
311	0.6260579459
312	0.625995976
313	0.625839439
314	0.6256699641
315	0.6254950935
316	0.6252650608
317	0.6250953978
318	0.6247897314
319	0.6246178852
320	0.6244627303
321	0.6243568224
322	0.6242074042
323	0.6238653845
324	0.6235754019
325	0.6234203313
326	0.6231591025
327	0.6230188247
328	0.6228993597
329	0.6227352001
330	0.6226092891
331	0.6224873511
332	0.6221651087
333	0.6218395234
334	0.621654799
335	0.6215426096
336	0.6212182235
337	0.6211412852
338	0.6210378609
339	0.6207702866
340	0.6205970209
341	0.6202396699
342	0.6200750746
343	0.6199810088
344	0.6198236028
345	0.6196734536
346	0.619475906
347	0.6193088706
348	0.6192287669
349	0.6190796293
350	0.6189051272
351	0.6187563286
352	0.6186519591
353	0.6185039421
354	0.61839772
355	0.6182866148
356	0.6181275756
357	0.6179312247
358	0.6178499337
359	0.617710885
360	0.6175903255
361	0.6174244444
362	0.6173070851
363	0.617140393
364	0.6169845561
365	0.6167899713
366	0.6165918796
367	0.6164439204
368	0.6161689056
369	0.6160621022
370	0.6159448491
371	0.6157722962
372	0.6156791241
373	0.6155283626
374	0.6152208603
375	0.6151444718
376	0.6149865638
377	0.6148548513
378	0.6146883298
379	0.6144565558
380	0.6143016725
381	0.6141362625
382	0.6139472114
383	0.6137777817
384	0.6136333389
385	0.6135113937
386	0.6133371275
387	0.6132456737
388	0.6129614719
389	0.6127185561
390	0.6125895316
391	0.6124704699
392	0.6122922994
393	0.6121104312
394	0.6119782131
395	0.6118757339
396	0.6117523931
397	0.6116054384
398	0.6114344384
399	0.6112305936
400	0.6111327156
401	0.6109351289
402	0.6108385628
403	0.6107011069
404	0.6105939652
405	0.6103801577
406	0.6101329136
407	0.6098633521
408	0.6096938062
409	0.6095905758
410	0.6093453466
411	0.609207749
412	0.6090934678
413	0.6090082507
414	0.6088791497
415	0.6087829639
416	0.6086177379
417	0.6085247044
418	0.6084280456
419	0.6082684811
420	0.6081598439
421	0.6080434004
422	0.607880158
423	0.6076266078
424	0.6074913486
425	0.6074368803
426	0.6073694799
427	0.6072190923
428	0.6071402296
429	0.6069605539
430	0.6068704294
431	0.6067752448
432	0.6065675708
433	0.606431854
434	0.6063262842
435	0.6062292177
436	0.6060732182
437	0.6059635104
438	0.6058230749
439	0.6056131451
440	0.6053331095
441	0.6052127214
442	0.6050633995
443	0.6047932188
444	0.6046292772
445	0.6044936009
446	0.6043197037
447	0.604164658
448	0.6041007509
449	0.6039063154
450	0.6037470818
451	0.6035644445
452	0.6034145468
453	0.6033293185
454	0.6031849065
455	0.6030903204
456	0.6028958923
457	0.6026758761
458	0.6025779446
459	0.6024954347
460	0.602396375
461	0.6022144178
462	0.6021270089
463	0.6019822503
464	0.6017534101
465	0.6015929607
466	0.6015424166
467	0.6014324739
468	0.6012450877
469	0.6010999941
470	0.6009876363
471	0.6008741217
472	0.6007395611
473	0.6006873991
474	0.6005334304
475	0.6003847011
476	0.6001320196
477	0.6000094555
478	0.5998871749
479	0.5997900544
480	0.5995950146
481	0.5994989234
482	0.5994242328
483	0.599225428
484	0.599134276
485	0.5989285057
486	0.5987454075
487	0.5985839439
488	0.5984716574
489	0.5983661483
490	0.5981886119
491	0.5980841692
492	0.5979851211
493	0.5978694056
494	0.5976379996
495	0.5975430734
496	0.5973608056
497	0.5971522085
498	0.5970694519
499	0.5969578449
500	0.5968679938
501	0.5966827512
502	0.5965504791
503	0.5964254858
504	0.596347665
505	0.5961570901
506	0.5960020626
507	0.5957190965
508	0.5955640767
509	0.5954388743
510	0.5952368325
511	0.5951174302
512	0.5949732283
513	0.5949049172
514	0.59471497
515	0.5945366199
516	0.5944081243
517	0.5942782457
518	0.5941868941
519	0.5940497612
520	0.5939164833
521	0.5938192636
522	0.5937161358
523	0.5936105047
524	0.5935585972
525	0.5934544225
526	0.5933072394
527	0.5931782529
528	0.5929903516
529	0.5928698376
530	0.5926688787
531	0.5925313563
532	0.5924087973
533	0.5922736709
534	0.5921444235
535	0.5920910941
536	0.5919790101
537	0.5917777455
538	0.5916992951
539	0.5915503162
540	0.5914760197
541	0.5913256025
542	0.5911887515
543	0.5910566114
544	0.5909713206
545	0.5907569319
546	0.5906053698
547	0.5905004496
548	0.5903889568
549	0.5902322926
550	0.5900947462
551	0.5899353646
552	0.5898357457
553	0.5897516264
554	0.5896632637
555	0.5895059197
556	0.5894008906
557	0.5892815078
558	0.5891979872
559	0.5890762817
560	0.5889920876
561	0.5889046811
562	0.5888053549
563	0.5887162518
564	0.5886330497
565	0.5884432423
566	0.5883341454
567	0.5882065942
568	0.5880975178
569	0.5880114835
570	0.5879269136
571	0.5877017316
572	0.58748954
573	0.5872547015
574	0.5870850848
575	0.5869724607
576	0.5868830312
577	0.5867578037
578	0.5865751445
579	0.5862611945
580	0.5862012473
581	0.5860885522
582	0.5859962279
583	0.5859150489
584	0.5858700027
585	0.5857158055
586	0.5854947044
587	0.5853470039
588	0.5852280125
589	0.5851308364
590	0.5849605604
591	0.5848541908
592	0.5847265143
593	0.5845804612
594	0.5844854072
595	0.5843311438
596	0.5842135443
597	0.5841206768
598	0.5840378559
599	0.5839121358
600	0.5836999441
601	0.5835596038
602	0.5834307033
603	0.5832327025
604	0.5831436691
605	0.5830807022
606	0.583003179
607	0.5828923203
608	0.5827818717
609	0.5825131284
610	0.5824173078
611	0.5823338568
612	0.5821076521
613	0.5818474789
614	0.5816303758
615	0.5815047402
616	0.5814346012
617	0.5813531768
618	0.5811740576
619	0.5809949736
620	0.5809442353
621	0.580868685
622	0.5807740117
623	0.5806390288
624	0.5805108395
625	0.5803703468
626	0.5802501171
627	0.5801690444
628	0.5800376879
629	0.5798482612
630	0.5797724408
631	0.5797216757
632	0.5796476655
633	0.5794986952
634	0.5793915733
635	0.5792721863
636	0.5791031346
637	0.5790277063
638	0.5789079083
639	0.5788095993
640	0.5786561829
641	0.5784888255
642	0.5783982935
643	0.5783084263
644	0.5781895153
645	0.5780868332
646	0.5779559315
647	0.5777526283
648	0.5776047754
649	0.5774672551
650	0.5773939266
651	0.5772921131
652	0.577192271
653	0.5771317987
654	0.5769701215
655	0.5769215494
656	0.5768477569
657	0.5767659696
658	0.5766847445
659	0.5766224173
660	0.5765034001
661	0.5763777371
662	0.5762485006
663	0.5761137618
664	0.5759881921
665	0.5758532259
666	0.5756678862
667	0.5755541813
668	0.5754506735
669	0.5753478306
670	0.5751792804
671	0.5750402489
672	0.5749414837
673	0.5748595779
674	0.574572931
675	0.5743918444
676	0.5742214605
677	0.5741338322
678	0.5740661462
679	0.5739534725
680	0.5738776944
681	0.5738192055
682	0.5736851493
683	0.5735037557
684	0.5734158665
685	0.57331225
686	0.5731299355
687	0.5730391684
688	0.5728730383
689	0.5728148258
690	0.5727414837
691	0.5726409236
692	0.5725453208
693	0.5724727239
694	0.5723398531
695	0.5721583194
696	0.5720482501
697	0.5718824715
698	0.5717860604
699	0.5716033447
700	0.5715247923
701	0.5713578261
702	0.5713151922
703	0.571188017
704	0.571065841
705	0.5709686597
706	0.570929145
707	0.5708274405
708	0.5707385109
709	0.5705816012
710	0.5705199966
711	0.5704510667
712	0.570267268
713	0.5700818318
714	0.5699357922
715	0.5698523367
716	0.5696959245
717	0.5696125988
718	0.5695195826
719	0.5694285562
720	0.5693465264
721	0.5691915646
722	0.569132946
723	0.5690448214
724	0.5689618464
725	0.5688254359
726	0.5686964708
727	0.5686245774
728	0.5685263378
729	0.5684135179
730	0.5682219686
731	0.5681430953
732	0.5679971725
733	0.5679513645
734	0.5677766377
735	0.567633194
736	0.5675503957
737	0.5674963138
738	0.5673489225
739	0.5672521533
740	0.5671463653
741	0.5670221658
742	0.5668748501
743	0.5668188646
744	0.5667494469
745	0.5666700736
746	0.5665534635
747	0.5664746444
748	0.5663851218
749	0.5662904749
750	0.566135059
751	0.5660290714
752	0.5659212397
753	0.565775589
754	0.565714993
755	0.5656310101
756	0.565583065
757	0.5654595069
758	0.5653359491
759	0.5651571962
760	0.5650769346
761	0.5649850679
762	0.564902002
763	0.5647733732
764	0.5646611609
765	0.564574974
766	0.5644975657
767	0.5644124257
768	0.5642065047
769	0.5641362809
770	0.5639484806
771	0.5638962072
772	0.5637995176
773	0.563686661
774	0.563490235
775	0.5633405838
776	0.5632750459
777	0.563132114
778	0.5630286213
779	0.5628981938
780	0.5628623419
781	0.562714129
782	0.5625885775
783	0.5624972197
784	0.5623526446
785	0.5622726557
786	0.5621829698
787	0.5621153224
788	0.5619675869
789	0.5618685153
790	0.5618087703
791	0.5616688053
792	0.561561249
793	0.5613478683
794	0.561292349
795	0.5612517745
796	0.5611558094
797	0.5610818355
798	0.5609430881
799	0.5608725498
800	0.5606762476
801	0.5605613805
802	0.5604510608
803	0.5603651422
804	0.5601828866
805	0.5601220094
806	0.560012088
807	0.5599109757
808	0.5598590006
809	0.5597575993
810	0.5596198929
811	0.5595505644
812	0.5594851
813	0.5594100037
814	0.5593284262
815	0.559240215
816	0.5591335268
817	0.559035551
818	0.5589731722
819	0.5588600779
820	0.5587651596
821	0.558648596
822	0.5584991622
823	0.5583769232
824	0.5582882956
825	0.5582026184
826	0.5581060985
827	0.558014377
828	0.5579176963
829	0.5578168769
830	0.5577513497
831	0.5576404267
832	0.557542132
833	0.557478772
834	0.5573271148
835	0.5571522695
836	0.5569945389
837	0.5569178743
838	0.5568795285
839	0.5568281514
840	0.55672068
841	0.5566215609
842	0.5565920483
843	0.5564003879
844	0.5563316237
845	0.5562760214
846	0.5562156354
847	0.556154161
848	0.556080493
849	0.5559795833
850	0.5559405997
851	0.5557624333
852	0.5555859955
853	0.5555199377
854	0.5552478988
855	0.5551588873
856	0.5550388861
857	0.5549793336
858	0.5548718332
859	0.5548161551
860	0.5547351271
861	0.5546537725
862	0.554601734
863	0.5544623539
864	0.5543758442
865	0.5542867098
866	0.554198901
867	0.5540762881
868	0.5539664877
869	0.5538172192
870	0.5536202126
871	0.5534331027
872	0.5532898417
873	0.5531808309
874	0.5530668351
875	0.5529313439
876	0.5528819927
877	0.5528306159
878	0.5526938432
879	0.5526619343
880	0.5526184443
881	0.552469441
882	0.5523764891
883	0.5522456146
884	0.552138515
885	0.5520620784
886	0.5519831328
887	0.5519290136
888	0.5518261645
889	0.5517637424
890	0.5516160185
891	0.5515447044
892	0.5514842838
893	0.5513553068
894	0.5512866161
895	0.5511856889
896	0.55108312
897	0.551029766
898	0.5509050152
899	0.5507775889
900	0.5506583437
901	0.5505853172
902	0.5504177299
903	0.5503470232
904	0.550190238
905	0.5501060787
906	0.5500052384
907	0.5499418915
908	0.5498475955
909	0.5497565829
910	0.5496665831
911	0.5495666471
912	0.5494590011
913	0.5493204953
914	0.5492313556
915	0.5491824695
916	0.5490861224
917	0.5489163603
918	0.5487269064
919	0.5485304167
920	0.5484824651
921	0.5483860816
922	0.5481626706
923	0.5481024506
924	0.5480071364
925	0.5479001604
926	0.547840246
927	0.5477343758
928	0.5476633271
929	0.5475647429
930	0.5474867642
931	0.5474259813
932	0.5473519715
933	0.5472541815
934	0.547200457
935	0.5471227721
936	0.5470212861
937	0.5469406608
938	0.5468860981
939	0.5468412971
940	0.5467904951
941	0.5466211657
942	0.5465109367
943	0.5463992993
944	0.5463542401
945	0.5462199392
946	0.5461179488
947	0.546007847
948	0.545958684
949	0.5458613247
950	0.5457546777
951	0.5456464732
952	0.5455381871
953	0.545361487
954	0.5452955157
955	0.5452285143
956	0.5451376402
957	0.5450425287
958	0.5449899364
959	0.5448567066
960	0.5447673041
961	0.5446614417
962	0.544618465
963	0.5445358102
964	0.5444186527
965	0.5443079939
966	0.544235075
967	0.544122301
968	0.5439787553
969	0.5438752477
970	0.543834657
971	0.5437645374
972	0.543669335
973	0.5435370145
974	0.543396993
975	0.5433307509
976	0.5432696525
977	0.543219149
978	0.5431228377
979	0.5430415775
980	0.5429249911
981	0.5428643963
982	0.5427236128
983	0.5426497112
984	0.542531488
985	0.5424591833
986	0.5423991743
987	0.5423181533
988	0.5422107108
989	0.5420977492
990	0.5420383502
991	0.5419245843
992	0.5418313872
993	0.5417396731
994	0.5416064115
995	0.5415534846
996	0.5414512411
997	0.5413333696
998	0.5412982747
999	0.5412297813
